exercise_id,name,target_muscle,body_part,equipment,secondary_muscles,instructions,image_endpoint,gif_url,local_gif_path,local_thumbnail_path
0001,3/4 Sit-Up,abs,waist,body weight,"hip flexors, lower back","Lie flat on your back with your knees bent and feet flat on the ground. | Place your hands behind your head with your elbows pointing outwards. | Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. | Pause for a moment at the top, then slowly lower your upper body back down to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0001&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0001.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0001.jpg
0002,45° Side Bend,abs,waist,body weight,obliques,"Stand with your feet shoulder-width apart and your arms extended straight down by your sides. | Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee. | Pause for a moment at the bottom, then slowly return to the starting position. | Repeat on the other side. | Continue alternating sides for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0002&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0002.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0002.jpg
0003,Air Bike,abs,waist,body weight,hip flexors,"Lie flat on your back with your hands placed behind your head. | Lift your legs off the ground and bend your knees at a 90-degree angle. | Bring your right elbow towards your left knee while simultaneously straightening your right leg. | Return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg. | Continue alternating sides in a pedaling motion for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0003&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0003.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0003.jpg
0006,Alternate Heel Touchers,abs,waist,body weight,obliques,"Lie flat on your back with your knees bent and feet flat on the ground. | Extend your arms straight out to the sides, parallel to the ground. | Engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel. | Return to the starting position and repeat on the left side, reaching your left hand towards your left heel. | Continue alternating sides for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0006&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0006.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0006.jpg
0007,Alternate Lateral Pulldown,lats,back,cable,"biceps, rhomboids","Sit on the cable machine with your back straight and feet flat on the ground. | Grasp the handles with an overhand grip, slightly wider than shoulder-width apart. | Lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together. | Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0007&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0007.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0007.jpg
0009,Assisted Chest Dip (Kneeling),pectorals,chest,leverage machine,"triceps, shoulders","Adjust the machine to your desired height and secure your knees on the pad. | Grasp the handles with your palms facing down and your arms fully extended. | Lower your body by bending your elbows until your upper arms are parallel to the floor. | Pause for a moment, then push yourself back up to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0009&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0009.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0009.jpg
0010,Assisted Hanging Knee Raise With Throw Down,abs,waist,assisted,"hip flexors, lower back","Hang from a pull-up bar with your arms fully extended and your palms facing away from you. | Engage your core and lift your knees towards your chest, keeping your legs together. | Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully. | Allow your legs to swing back up and repeat the movement for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0010&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0010.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0010.jpg
0011,Assisted Hanging Knee Raise,abs,waist,assisted,hip flexors,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. | Engage your core muscles and lift your knees towards your chest, bending at the hips and knees. | Pause for a moment at the top of the movement, squeezing your abs. | Slowly lower your legs back down to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0011&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0011.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0011.jpg
0012,Assisted Lying Leg Raise With Lateral Throw Down,abs,waist,assisted,"hip flexors, obliques","Lie flat on your back with your legs extended and your arms by your sides. | Place your hands under your glutes for support. | Engage your abs and lift your legs off the ground, keeping them straight. | While keeping your legs together, lower them to one side until they are a few inches above the ground. | Pause for a moment, then lift your legs back to the starting position. | Repeat the movement to the other side. | Continue alternating sides for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0012&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0012.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0012.jpg
0013,Assisted Lying Leg Raise With Throw Down,abs,waist,assisted,"hip flexors, quadriceps","Lie flat on your back with your legs extended and your arms by your sides. | Place your hands under your glutes for support. | Engage your core and lift your legs off the ground, keeping them straight. | Raise your legs until they are perpendicular to the ground. | Lower your legs back down to the starting position. | Simultaneously, throw your legs down towards the ground, keeping them straight. | Raise your legs back up to the starting position. | Repeat for the desired number of repetitions.",https://exercisedb.p.rapidapi.com/image?exerciseId=0013&resolution=360,,/Users/acluna/Documents/exercise_etl/data/gifs/0013.gif,/Users/acluna/Documents/exercise_etl/data/thumbnails/0013.jpg
